"id","coordinates_wkt","name"
45,"POINT (-75.70335689 20.91916667)","Banes"
46,"POINT (-79.46931684 22.52916667)","Caibarien"
47,"POINT (-80.00759717 22.94027778)","Isabela de Sagua"
48,"POINT (-77.23951708 21.56305556)","Nuevitas"
49,"POINT (33.94004711 35.12777778)","Famagusta"
50,"POINT (8.707243816 53.86472222)","Cuxhaven"
51,"POINT (9.835806832 54.47361111)","Eckernforde"
52,"POINT (8.489517079 53.4875)","Nordenham"
53,"POINT (7.368963486 53.09638889)","Papenburg"
54,"POINT (11.43916372 53.90638889)","Wismar"
55,"POINT (10.80689046 55.29888889)","Nyborg"
56,"POINT (12.61702002 56.03444444)","Helsingor"
57,"POINT (10.52497055 55.46638889)","Odense"
58,"POINT (10.78810365 55.30694444)","Nyborg"
59,"POINT (10.54146054 57.43777778)","Frederikshavn"
60,"POINT (9.504416961 55.25111111)","Haderslev"
61,"POINT (9.868433451 55.85416667)","Horsens"
62,"POINT (11.08598351 55.66944444)","Kalundborg"
63,"POINT (9.493404005 55.49277778)","Kolding"
64,"POINT (11.12108363 54.83222222)","Nakskov"
65,"POINT (11.85706714 54.77083333)","Nykobing Falster"
66,"POINT (10.05265018 56.46027778)","Randers"
67,"POINT (10.704947 54.93972222)","Rudkobing"
68,"POINT (10.61702002 55.05861111)","Svendborg"
69,"POINT (9.551943463 55.70555556)","Vejle"
70,"POINT (10.58881037 57.71861111)","Skagen"
71,"POINT (-70.70053004 19.80361111)","Puerto Plata"
72,"POINT (-70.01808009 18.42027778)","Rio Haina"
73,"POINT (0.071260306 35.93444444)","Mostaganem"
74,"POINT (31.75918728 31.46666667)","Damietta"
75,"POINT (33.94128386 26.74222222)","Safaga"
76,"POINT (-5.400353357 36.14777778)","Algeciras"
77,"POINT (-5.920023557 43.57861111)","Aviles"
78,"POINT (-8.250883392 43.47972222)","Ferrol"
79,"POINT (-6.935806832 37.19277778)","Huelva"
80,"POINT (-1.918786808 43.32333333)","Pasajes"
81,"POINT (-6.334570082 36.61944444)","Rota"
82,"POINT (-6.258833922 36.52)","Cadiz"
83,"POINT (26.9418139 60.46111111)","Kotka"
84,"POINT (24.61666667 65.68305556)","Veitsiluoto"
85,"POINT (-1.142343934 44.65916667)","Arcachon"
86,"POINT (0.073380448 49.36583333)","Deauville"
87,"POINT (0.369493522 49.76194444)","Fecamp"
88,"POINT (-1.223910483 46.15722222)","La Pallice"
89,"POINT (-2.022850412 48.64444444)","Saint-Malo"
90,"POINT (3.71024735 43.40472222)","Sete"
91,"POINT (-4.756713781 55.95472222)","Greenock"
92,"POINT (-1.986513545 50.71444444)","Poole"
93,"POINT (-5.053533569 50.15277778)","Falmouth"
94,"POINT (-3.171790342 55.9825)","Leith"
95,"POINT (-2.467903416 56.70444444)","Montrose"
96,"POINT (-2.984746761 51.55888889)","Newport"
97,"POINT (-1.356183746 54.90694444)","Sunderland"
98,"POINT (-1.157067138 54.60805556)","Teesport"
99,"POINT (41.65282686 42.155)","Poti"
100,"POINT (23.6565371 37.93722222)","Piraeus"
101,"POINT (23.63368669 37.94111111)","Piraeus"
102,"POINT (23.64305065 37.93444444)","Piraeus"
103,"POINT (-61.75053004 12.04722222)","Saint George's"
104,"POINT (-52.27196702 4.853055556)","Cayenne"
105,"POINT (14.54075383 45.29972222)","Bakar"
106,"POINT (13.63492344 45.08055556)","Rovinj"
107,"POINT (15.89163722 43.72638889)","Sibenik"
108,"POINT (-72.70371025 19.44833333)","Gonaives"
